type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_232633627068	232633627068_10155094832347069	https://www.facebook.com/appledaily.tw/videos/10155094832347069/	"他回憶當時作秀時，胡瓜很有先見對他說：「你現在非常紅、不得了，可是要走得下去才是實力。」 　　 完整 #動新聞【苦情動畫】康安遭女友盜領百萬　當臨時工玩命貼磚 http://ent.appledaily.com.tw/actionnews/index/20160918/950706/0 　 【圖文報導】 http://ent.appledaily.com.tw/realtimenews/article/entertainment/20160918/950706/ 　 #吳鈴山 #康安 #甘味人生 甘味人生 吳鈴山家族"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14356543_10155094836517069_496006579_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=bdc17012cb1402aa3defa80e4c7a7bc3&oe=5D1E1E3F	https://scontent.xx.fbcdn.net/v/t15.5256-10/14356543_10155094836517069_496006579_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=e98d3eb053e7b84a29a6657d9571ce41&oe=5D23F4BA	https://www.facebook.com/appledaily.tw/videos/10155094832347069/	facebook.com	2016-09-19T07:30:00+0000	1474270200	"2016-09-19 09:30:00"	10312	182	10633	216	11031	179	138	41	334	46	114	12	145	4	0
video	post_page_232633627068	232633627068_10155094543297069	https://www.facebook.com/appledaily.tw/videos/10155094543297069/	"朱女供稱當時是因為急著上廁所靠門比較近，站務人員開門時剛好卡到她的車子，再加上手卡在電動車開關上，所以才會失控不慎撞倒站務人員 　　 完整 #動新聞【暴衝女動畫】可惡！騎代步車撞捷運站長　網友怒：不值得被尊重 http://www.appledaily.com.tw/actionnews/appledaily/5/20160918/950944/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/local/20160918/950944/ 　 #代步車 #捷運 #北捷 #MRT"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14299454_10155094546102069_2085370286_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=292f8a93a72f04542d400230d7f736fe&oe=5D1D90F3	https://scontent.xx.fbcdn.net/v/t15.5256-10/14299454_10155094546102069_2085370286_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=945b3f13f0a4b9db63cf678b1f7ce3e8&oe=5CE26C0A	https://www.facebook.com/appledaily.tw/videos/10155094543297069/	facebook.com	2016-09-19T04:50:00+0000	1474260600	"2016-09-19 06:50:00"	2741	423	5852	107	6382	415	350	65	2127	3	156	24	28	2900	0
video	post_page_232633627068	232633627068_10155094539402069	https://www.facebook.com/appledaily.tw/videos/10155094539402069/	"永遠的台灣巨砲--光隆ㄏ...咦？ 　　 【完整 #動新聞】陳金鋒千萬漢白玉雕像　就是長這樣 http://www.appledaily.com.tw/actionnews/appledaily/10/20160918/951105/ 　 #最新【冠名比鋒哥還大被罵　贊助商道歉：將盡快調整】 http://www.appledaily.com.tw/realtimenews/article/sports/20160919/951501/ 　 【#火線話題】台灣巨砲陳金鋒引退 https://goo.gl/DOQJlE  #陳金鋒 #台灣隊長 #CPBL #棒球 #台灣巨砲 #中華職棒 #引退賽 陳金鋒 台灣巨炮#52 陳金鋒 CPBL 中華職棒  #雕像"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14411432_10155094542707069_404798625_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=3b6387846e887ba84630b92d3a305ebb&oe=5CE391C0	https://scontent.xx.fbcdn.net/v/t15.5256-10/14411432_10155094542707069_404798625_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=ae3203bdb83a31f4d2a458709d96fe9c&oe=5CE36345	https://www.facebook.com/appledaily.tw/videos/10155094539402069/	facebook.com	2016-09-19T04:30:00+0000	1474259400	"2016-09-19 06:30:00"	2882	36	2999	16	3051	33	20	13	60	11	10	56	3	37	0
video	post_page_232633627068	232633627068_10155091816472069	https://www.facebook.com/appledaily.tw/videos/10155091816472069/	"我已經開始想球場上的鋒哥了，你呢？ 　 【永遠的第4棒】陳金鋒10年國家隊扛4番 http://www.appledaily.com.tw/realtimenews/article/sports/20160918/950145/ 　　 #陳金鋒 #台灣隊長 #CPBL #棒球 #台灣巨砲 #中華職棒 #引退賽 陳金鋒 台灣巨炮#52 陳金鋒 CPBL 中華職棒"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14299538_10155091818747069_447561718_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=1c526b264c8a02aa7816e6e67ac05664&oe=5CE54227	https://scontent.xx.fbcdn.net/v/t15.5256-10/14299538_10155091818747069_447561718_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=01d352ce4ecd7c178e23154f0b59c13e&oe=5CE8F3A2	https://www.facebook.com/appledaily.tw/videos/10155091816472069/	facebook.com	2016-09-18T22:00:06+0000	1474236006	"2016-09-19 00:00:06"	17823	160	18735	810	19705	154	126	28	269	350	28	15	518	1	0
video	post_page_232633627068	232633627068_10155091804937069	https://www.facebook.com/appledaily.tw/videos/10155091804937069/	"蛋疼請儘速就醫，不然以後就沒蛋蛋可以哀傷了......  　　 完整 #動新聞【GG動畫】蛋疼忍9小時　少年睪丸壞死 http://www.appledaily.com.tw/actionnews/appledaily/7/20160917/950560/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/international/20160917/950560/ 　 #睪丸 #小雞動新聞 #請分享 #睪丸扭轉 #蘋果動畫 #GGGG了"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14356568_10155091806512069_1143703624_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=839d9d0fcdd99bc5c66acfade3d02573&oe=5D26B07D	https://scontent.xx.fbcdn.net/v/t15.5256-10/14356568_10155091806512069_1143703624_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=316c6352c8a8ff2acd31a5a1b8ca9fb7&oe=5D209184	https://www.facebook.com/appledaily.tw/videos/10155091804937069/	facebook.com	2016-09-18T15:50:00+0000	1474213800	"2016-09-18 17:50:00"	1440	243	1751	77	2071	235	147	88	231	5	207	77	21	1	0
video	post_page_232633627068	232633627068_10155091735062069	https://www.facebook.com/appledaily.tw/videos/10155091735062069/	"每個人適合的工作不同，加油囉 　　 完整 #動新聞【辛酸動畫】星光幫鴨子遭憲哥打槍丟主持　星路2年定生死 http://ent.appledaily.com.tw/actionnews/index/20160917/950203/0 　 【圖文報導】 http://ent.appledaily.com.tw/realtimenews/article/entertainment/20160917/950203/ 　 #鴨子 #徐宛鈴 #超級星光大道 #吳宗憲 吳宗憲 Jacky Wu"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14299547_10155091736832069_839914718_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=3183f53125c9092017f7914b2e27a9e8&oe=5CE51E69	https://scontent.xx.fbcdn.net/v/t15.5256-10/14299547_10155091736832069_839914718_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=1e8558dae013abecf9c97d62bc2215f1&oe=5CEA1CEC	https://www.facebook.com/appledaily.tw/videos/10155091735062069/	facebook.com	2016-09-18T09:45:00+0000	1474191900	"2016-09-18 11:45:00"	4576	137	4756	52	4945	135	72	63	792	25	63	9	80	3	0
video	post_page_232633627068	232633627068_10155091687322069	https://www.facebook.com/appledaily.tw/videos/10155091687322069/	"警察也是好心，下次別喝成這樣了...... 　　 完整 #動新聞【喪屍動畫】中秋烤肉喝茫變喪屍　抓狂咆哮還襲警 http://www.appledaily.com.tw/actionnews/appledaily/5/20160917/950660/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/local/20160917/950660/ 　 #發酒瘋 #酒品 #中秋 #中秋烤肉 #蘋果動畫"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14299191_10155091688417069_841028449_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=cd2f58ca2fdb6f84add200d46204be49&oe=5CE08B89	https://scontent.xx.fbcdn.net/v/t15.5256-10/14299191_10155091688417069_841028449_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=b29ae85a91e6d249c196a64554abf931&oe=5CF1790C	https://www.facebook.com/appledaily.tw/videos/10155091687322069/	facebook.com	2016-09-18T08:15:00+0000	1474186500	"2016-09-18 10:15:00"	1646	32	1835	31	1898	31	26	5	17	2	17	63	2	105	0
video	post_page_232633627068	232633627068_10155091663517069	https://www.facebook.com/appledaily.tw/videos/10155091663517069/	"謝謝你～祝福伯父可以早日康復！ 　　 完整 #動新聞【無私動畫】爸開刀住院　中校帶隊救災 http://www.appledaily.com.tw/actionnews/appledaily/5/20160918/950878/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/life/20160918/950878/ 　　　 【#火線話題】秋颱接力擾連假  http://goo.gl/8Gwjpf #颱風 #氣象 #中颱 #馬勒卡 #蘋果動畫 #救災 #國軍 #莫蘭蒂"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14299432_10155091666357069_972339296_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=c5e79b4b01076ed1abd3b4f411fea114&oe=5CDB657D	https://scontent.xx.fbcdn.net/v/t15.5256-10/14299432_10155091666357069_972339296_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=b0d670d5e2b98db5a8947680fd03c328&oe=5CEFD7F8	https://www.facebook.com/appledaily.tw/videos/10155091663517069/	facebook.com	2016-09-18T07:40:00+0000	1474184400	"2016-09-18 09:40:00"	12712	190	14038	218	14446	184	153	31	478	615	31	7	667	6	0
video	post_page_232633627068	232633627068_10155073844342069	https://www.facebook.com/appledaily.tw/videos/10155073844342069/	"阿嬤特地跟蘋果讀者說謝謝，看了眼淚快流下來QAQ 　　　 【暖蘋果】癌男為老母憨姐「拼命活」 http://www.appledaily.com.tw/realtimenews/article/life/20160911/946372/ 　 【#特選話題 】暖蘋果新聞 給你滿滿正能量 http://goo.gl/PyFYtp 　 #暖新聞 #蘋果暖新聞 #洋蔥文 #正面能量 #暖蘋果 蘋果愛逗陣行"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14299617_10155073849862069_358434757_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=88a87ff84fde65ce5834534516954758&oe=5CE12A1D	https://scontent.xx.fbcdn.net/v/t15.5256-10/14299617_10155073849862069_358434757_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=747a99143e9e94c5e72db81958b03a14&oe=5CE39098	https://www.facebook.com/appledaily.tw/videos/10155073844342069/	facebook.com	2016-09-18T07:15:00+0000	1474182900	"2016-09-18 09:15:00"	7178	64	8676	264	9004	63	59	4	255	385	12	5	1093	3	0
video	post_page_232633627068	232633627068_10155091457772069	https://www.facebook.com/appledaily.tw/videos/10155091457772069/	"雖然知道一定有這一天，但來得太快我還沒準備好啊QAQ 　　 【完整 #動新聞】前輩陳金鋒引退　眾星感念對台灣棒球的貢獻 http://www.appledaily.com.tw/actionnews/appledaily/10/20160918/950742/ 　 【圖文報導】 http://www.appledaily.com.tw/realtimenews/article/sports/20160918/950742/ 　 【#火線話題】台灣巨砲陳金鋒引退 https://goo.gl/DOQJlE 　 #陳金鋒 #台灣隊長 #CPBL #棒球 #台灣巨砲 #中華職棒 #引退 #致52 陳金鋒 台灣巨炮#52 陳金鋒 CPBL 中華職棒"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/14299199_10155091460022069_804457086_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=b96c2f3a4c804db3bd45dc699d24fd22&oe=5CDF2536	https://scontent.xx.fbcdn.net/v/t15.5256-10/14299199_10155091460022069_804457086_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=8d01c7a7d484a5a1d70affd2ef9dbb7e&oe=5CEE69B3	https://www.facebook.com/appledaily.tw/videos/10155091457772069/	facebook.com	2016-09-18T06:40:00+0000	1474180800	"2016-09-18 08:40:00"	6760	34	7040	73	7147	27	21	6	35	63	10	2	205	0	0
